SampleID,Diversidad_Shannon,Firmicutes_%,Bacteroidetes_%,Actinobacteria_%,Proteobacteria_%,F_B_ratio
000015354.fixed91,2.661531995,19.34462084,1.003054414,64.33877597,13.13775029,19.28571429
000014076.fixed304,4.085676148,32.16657181,60.58622652,0.123316259,3.955606147,0.530922186
000005802.fixed683,3.125449342,17.70432178,76.51369277,0.748823278,4.343175011,0.231387627
000011939.fixed720,3.694019752,52.72007113,45.06507154,0.35567052,1.713685232,1.169865471
000016408.fixed732,4.505210396,61.06020183,32.83493794,1.886092101,3.820902448,1.859610697
000018029.fixed642,4.562717377,53.20110322,41.28865677,0.845020832,1.267531248,1.288516202
000013023.fixed721,4.164514675,61.68425366,27.49103575,10.28173343,0.358569819,2.243795185
000007752.fixed962,3.541275423,37.05123736,7.579102281,8.136787886,34.14275202,4.888605008
000007829.fixed1097,3.184691574,31.87979148,1.576203619,49.49402024,14.24103036,20.22568093
000007839.fixed1062,4.555417868,46.70019946,8.442459457,8.555199029,28.20223745,5.531587057
000007842.fixed1037,4.036143457,47.69710005,10.88778462,7.646666172,20.77430839,4.380790191
000012915.fixed1056,3.986109442,18.40041819,3.110297961,10.53319394,29.95295348,5.915966387
000015015.fixed885,1.850514585,55.93093093,0.178303303,43.31831832,0.34253003,313.6842105
000015285.fixed944,1.460464985,11.06321839,0.356534696,79.23052363,9.030438484,31.02985075
000015303.fixed830,3.043171149,61.27440762,0.86859843,23.41046487,13.96706275,70.544
000015011.fixed881,3.101718292,47.11043709,1.115745004,26.77246385,24.30807561,42.22330097
14220.12617,3.837396449,71.33628879,28.25205826,0.221659278,0.101329956,2.524994396
5432.105379,4.35340927,42.60776841,6.441420983,32.88244703,15.08461523,6.614653587
5813.105387,3.086200028,45.87271582,19.76325502,6.771536592,22.72706814,2.321111364
3359.113169,2.935323678,42.40827604,5.937158646,2.820792906,47.3398445,7.142857143
000015223.fixed145,5.329480352,34.35336668,22.3813964,10.9067277,21.32463056,1.534907209
000015591.fixed65,3.681511796,61.67059407,30.83839762,0.985985365,0.595311919,1.999798914
5573.105389,3.959720368,30.41249028,4.416987119,22.62077371,19.14938326,6.885347288
5654.105384,3.280422265,29.72879897,2.513990529,29.47051227,23.1554025,11.82534247
5066.10538,3.372476049,61.71095225,1.716347451,27.35028325,7.533045589,35.95481336
6733.113177,3.561207591,96.96936057,0.577264654,2.020426288,0.405195382,167.9807692
2260.113017,3.743507505,55.31665563,2.358995262,26.76924645,12.0701075,23.44924406
000015448.fixed184,2.948448714,80.06335143,5.122892255,8.542917024,2.931790035,15.62854486
4236.105385,4.300887048,31.65356517,4.818921686,22.07298662,28.28882295,6.568599208
3029.105376,4.199316825,26.10211895,9.205488799,13.79212312,31.98703612,2.835495162
000015163.fixed42,2.412091297,20.34349551,2.281269576,34.68626018,40.96627688,8.917620137
000015164.fixed38,3.880451228,51.41267123,2.107115677,28.33428463,12.49524353,24.39954853
000007757.fixed959,3.473805464,30.723722,2.274554854,26.41010913,19.36817921,13.50757576
000007806.fixed895,4.305600974,43.79461945,7.812689065,10.57153229,22.70802243,5.605575632
5289.105393,2.53839079,16.07812809,0.738827091,25.31099849,13.50292898,21.76169265
5565.113031,5.20647712,22.85284721,19.41364405,15.25089269,24.44089457,1.177153921
10192.1213,4.247100644,64.32858572,33.54213309,1.307578717,0.583527843,1.917844209
8195.113013,2.820270053,44.69740087,1.569910833,31.57844811,21.883893,28.47129909
7106.107567,4.684292682,18.93448795,7.533885542,35.15436747,31.50225904,2.513243378
1422.10761,2.038770596,16.67723079,65.27220227,0.147897739,1.253609409,0.255502805
1291.10758,2.069678954,98.69879518,0.17211704,0.99827883,0.13080895,573.44
2042.107602,4.201906314,78.01698687,19.1760912,0.685833674,1.062815097,4.068450971
1595.1076,4.370451478,62.01552938,34.96413766,0.365203659,0.598802395,1.773689658
5889.105395,3.596678388,68.89543446,27.23613157,0.864015709,2.886597938,2.529560202
1161.105394,3.847666003,45.74463574,48.06844203,0.443134594,5.695021627,0.951656301
6926.113176,3.774000108,50.85699667,41.98004605,3.696597595,3.415195702,1.211456429
6650.113196,3.8261088,92.1974917,4.11441035,2.310018341,0.485797849,22.40843373
3451.113042,4.05678449,66.10897928,28.36914812,5.353031466,0.15732924,2.330312458
1441.121306,3.542325199,65.81425084,32.93424774,0.763299624,0.061993878,1.998352941
14524.12597,4.2218454,47.25916969,49.54655381,2.317613865,0.654977832,0.953833638
14560.12616,4.89032824,70.54476587,23.87760407,0.193100375,2.306064094,2.954432348
000016359.fixed251,4.314677496,64.9164221,18.36161797,0.430649483,10.40257752,3.535441279
000016347.fixed222,4.316015532,45.18905667,46.58593424,0.336759298,1.252744588,0.970015036
000015447.fixed11,2.800192764,60.5437135,1.005010228,38.09255581,0.2134535,60.24188791
2146.113017,4.086382459,69.77391624,14.79181326,1.180897605,0.201915134,4.717063082
000015828.fixed717,4.104058317,50.22549088,25.9210435,3.822937626,3.42746132,1.937633833
2898.107592,4.014349836,73.9,25.26666667,0.153333333,0.673333333,2.924802111
2578.10762,4.163330456,82.03611853,13.4395269,4.352664377,0.073127305,6.104092737
1647.10763,4.027220234,53.3783051,34.85239572,10.82575971,0.928356072,1.531553398
6676.105375,4.372231953,55.05374793,21.70839045,3.686602698,3.066156843,2.536058491
6893.105392,3.743023926,60.03096508,30.50748323,8.942026492,0.416308275,1.967745573
2878.113173,3.903668761,46.7636776,51.2331097,0.453557592,1.048851932,0.912762818
6802.113188,3.999341893,86.96262278,11.01330952,1.228898244,0.790917209,7.896138996
6716.113173,4.15177542,67.33525979,22.64150943,1.048218029,8.52739532,2.973973974
6690.113167,3.751549026,55.93190898,6.927219038,35.54629147,0.371721383,8.074222668
9011.113175,3.750237174,63.01858383,36.50196141,0.087173594,0.388318738,1.726443769
3175.113161,3.43327775,95.3225996,2.556117053,0.352567869,1.751087084,37.29195402
9527.113029,3.789070584,72.80519162,1.346883801,25.24794906,0.477531529,54.05454545
7700.113034,4.411763463,89.47731236,0.952921617,6.463647054,0.089209683,93.89787234
9213.113042,3.948789348,47.74003097,47.48354626,1.805071622,2.748741773,1.005401549
9623.113013,2.65102713,24.2821196,70.38188277,0.096210776,1.361752516,0.345005258
5013.113055,3.798664819,48.64501249,47.74168749,2.139791146,0.666282273,1.018921095
12070.12576,4.570039308,62.75674228,35.97963922,0.531344883,0.245579568,1.744229337
12158.12571,4.611166158,49.46223804,44.72914195,1.518386714,3.894820087,1.105816832
13116.12572,4.079198944,45.37305499,51.24915434,0.205373538,0.862568861,0.885342511
9676.126194,3.025614371,96.15550291,0.290760284,1.324574628,1.959939694,330.7037037
7719.12618,3.532235798,74.63289599,12.77695716,12.4337475,0.125988357,5.841210473
3169.128311,4.450318337,74.72277598,20.86655868,1.504485422,2.519935211,3.580982236
